#Instructions for RainbowCSV:
# 1: Comment fix: Select the "#" character, right click->Rainbow CSV->Set selection as Comment Prefix
# 2: Line generation: Generate your CSV lines and paste them; mass-fix the columns if needed using the alt+shift+click multi-row select feature
# 3: Order and sum: 
# 3.1: Convert to minutes: IF there are estimations/remTimes in "h" => convert them to m(inutes)
# 3.2: Prepare to sum: Remove the "m" after all the time values (both Estimation and RemTime): alt+shitf+click select all in the column, ctrl+h, switch on the "in selection" (three horizontal lines", "m" in first box, second box empty, press Replace all 
# 3.3: Open the query window: Press 'Query' (next to CSVLint button in the bottom), check 'Input table has header'
# 3.4: Order: Put "SELECT * ORDER BY a3, a6" to the textbox, press run then copy the result back to this one
# 3.5: Sum: Queries are "SELECT sum(a2)" for sum of Estimation and "SELECT sum(a5)" for sum of RemTime; Run each and put the results as a new line like the example below
# 665                                 350        2026-03-30 20:15 //there were missing estimations here + missing Tasks
# 765                                 665        2026-04-01 xx:xx //done afterwards; many missing tasks still
# 765                                 560        2026-04-02 10:48 //many missing tasks still
# 1190                                975        2026-04-02 16:55 //supposedly all current OCWSPhase1 tasks are here 
# 1370                                990        2026-04-06 11:44 //Added 180m of f2yamltohtml related tasks
# 1260                                750        2026-04-08 13:52 //Moved 120mins of Shadow Site related to OCWSPhase2; 1 Task added; 2 Tasks done; while a lot of progress was done on the F2YamlToHTMLConverter task, the RemTime decreased by 30 only.
# 1692                                980        2026-04-09 15:15 //+4 Tasks (142+60+120+90) about f2yaml link fixes, content and development; +1 Task due to error (20); some Tasks are Done (142 + 40)
# 1692                                710        2026-04-11 19:26
# 1752                                550        2026-04-13 21:02 //One bug added
# 1772                                630        2026-04-14 12:46 //Cancelled 90m; Added 2 Tasks (110m); Fixed the RemTime of empty lines Task (30->60); 
# 1842                                540        2026-04-15 13:06 //Added 10m + 30m + 30m Tasks; Done 4 Tasks (60+60+30+10);
*, Estimation, Status    , By          , RemTime, IdLink                                                                                                                                                                                                                                                        , DependsOn
*,        120, InProgress, Bobi        ,      60, "-->Tasks\Software\F2YamlToHtmlConverter\..""F2YamlToHtmlConverter""..""Development""..""SecondPhase""..""Try Updating the BarbaF2YamlHtmlConverter to generate empty lines as well""..""See what can be done to support the empty lines; if easy, do it""<"  , 
*,        180, InProgress, Bobi        ,      60, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..LearnToDive..Syntax<"                                                                                                                                                , 
*,         90, TODO      , "Bobi, Hana",      90, "-->Tasks\Management\..""OCWSPhase1""..CleanUpFiles<",  
*,         30, TODO      , "Hana, Bobi",      30, "-->Tasks\Website\..""Improvements""..""Add the part we recorded during our smoking session to the Summary""<", 
 ,         30, Accepted  , Bobi        ,      30, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Cloudflare hides emails due to some email protection feature; disable this""<",  
*,         30, TODO      , "Hana, Bobi",      30, "-->Tasks\Website\..""Improvements""..""Manually convert the urls in the NonDD pages to html links""<", 
*,         15, TODO      , Bobi        ,      15, "-->Tasks\Software\F2YamlToHtmlConverter\..""F2YamlToHtmlConverter""..""Development""..""SecondPhase""..""Update the colors to the current VS Code theme""<", 
*,         60, TODO      , Bobi        ,      60, "-->Tasks\Software\F2YamlToHtmlConverter\..""F2YamlToHtmlConverter""..""Development""..""SecondPhase""..""Detect and convert urls""<", 
*,         30, TODO      , Bobi        ,      30, "-->Tasks\Software\F2YamlToHtmlConverter\..""F2YamlToHtmlConverter""..""Development""..""SecondPhase""..""Merge the project into the F2Tool solution""<", 
#Link following
*,        180, NEXT      , "Hana, Bobi",     180, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Manually create the yaml links""<"                                                                                                                                                      , 
#FoldAll 
*,         20, TODO      , Bobi        ,      20, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..Phase1ReadEngine..FoldAll..Codex<"                                                                                                                                         , 
#YamlsDownloadable
*,         20, TODO      , Bobi        ,      20, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..Phase1ReadEngine..MakeYamlsDownloadable..AsAPackage..Impl<"                                                                                                                , 
#Finalization
*,         30, OnHold    , Bobi        ,      30, "-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Revise the other pages""<"                                                                                                                                                   , 
#Done
 ,         60, Done      , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..Phase1ReadEngine..LinkFollowing..""Perform the site setup as per the recommendations of ChatGPT""<"                                                                        , 
 ,         60, Fixed     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""NonDD pages inception-like behavior""<", 
 ,         30, Done      , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Some colors are missing from colors.json""<"                                                                                                                                              , 
 ,         10, Done      , Bobi        ,       0, "-->Tasks\Software\F2YamlToHtmlConverter\..""F2YamlToHtmlConverter""..""Development""..""SecondPhase""..""Add the config files to the project""<", 
 ,          0, Cancelled , Bobi        ,       0, "-->Tasks\Management\..""OCWSPhase1""..UpdateF2Links..Fix2ndRound<"                                                                                                                                                                                           , 
 ,         90, Done      , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create the Big Summary page AND remove unnecessary menu items""<"                                                                                     , 
